iter	MultiClass
274	0.9423464481
275	0.9422665945
276	0.942073174
277	0.9418845018
278	0.9416660391
279	0.9415770113
280	0.9414708266
281	0.9413368198
282	0.9412609102
283	0.9411591484
284	0.9409211822
285	0.9408137698
286	0.9407477241
287	0.9405670796
288	0.9404321673
289	0.9403108088
290	0.9401676697
291	0.9399579009
292	0.9398193405
293	0.9397499615
294	0.9395639584
295	0.9394767605
296	0.9393593995
297	0.9392253454
298	0.9390592837
299	0.9389032602
300	0.9388347949
301	0.9388063713
302	0.938716049
303	0.9385966098
304	0.938469364
305	0.9383937215
306	0.9381855248
307	0.9380279315
308	0.937805598
309	0.9376066522
310	0.9374592164
311	0.9373595957
312	0.9372380424
313	0.9371231372
314	0.9369862538
315	0.9368802223
